
(Data Type);Date;Day;DayOfWeek;DayOfYear;Hour;Kind;Millisecond;Minute;Month;Second;Ticks;TimeOfDay;Year
DateTime;27.11.2021;27;Saturday;331;0;Unspecified;0;0;11;0;637735680000000000;00:00:00;2021
DateTime;28.11.2021;28;Sunday;332;0;Unspecified;0;0;11;0;637736544000000000;00:00:00;2021
DateTime;04.12.2021;4;Saturday;338;0;Unspecified;0;0;12;0;637741728000000000;00:00:00;2021
DateTime;05.12.2021;5;Sunday;339;0;Unspecified;0;0;12;0;637742592000000000;00:00:00;2021
DateTime;11.12.2021;11;Saturday;345;0;Unspecified;0;0;12;0;637747776000000000;00:00:00;2021
DateTime;12.12.2021;12;Sunday;346;0;Unspecified;0;0;12;0;637748640000000000;00:00:00;2021
DateTime;18.12.2021;18;Saturday;352;0;Unspecified;0;0;12;0;637753824000000000;00:00:00;2021
DateTime;19.12.2021;19;Sunday;353;0;Unspecified;0;0;12;0;637754688000000000;00:00:00;2021
DateTime;25.12.2021;25;Saturday;359;0;Unspecified;0;0;12;0;637759872000000000;00:00:00;2021
DateTime;26.12.2021;26;Sunday;360;0;Unspecified;0;0;12;0;637760736000000000;00:00:00;2021
DateTime;31.12.2021;31;Friday;365;0;Unspecified;0;0;12;0;637765056000000000;00:00:00;2021
